Day,Animals,Grasses,FreeSpaces,MostPopularGenome,AverageEnergy,AverageLifetime,AverageChildren
1,7,12,10,6,47.14,0.86,0.29
2,8,17,4,6,32.5,1.63,0.5
3,9,19,5,6,30.0,2.33,0.67
4,8,19,3,6,42.5,3.38,0.75
5,6,20,3,0,66.67,4.5,0.83
6,6,21,0,0,76.67,5.5,0.83
7,6,21,1,0,91.67,6.5,0.83
8,6,20,1,0,111.67,7.5,0.83
9,6,20,2,0,126.67,8.5,0.83
10,7,20,3,0,121.43,8.14,1.0
11,8,21,2,0,112.5,8.0,1.13
12,8,22,1,0,117.5,9.0,1.13
13,7,21,1,0,150.0,11.0,1.29
14,6,20,2,0,195.0,13.5,1.5
15,6,21,1,0,205.0,14.5,1.5
16,6,22,0,0,215.0,15.5,1.5
17,6,21,2,0,235.0,16.5,1.5
18,6,22,0,0,245.0,17.5,1.5
19,7,22,2,0,222.86,15.86,1.57
20,7,23,0,0,230.0,16.86,1.57
