Day,Animals,Grasses,FreeSpaces,MostPopularGenome,AverageEnergy,AverageLifetime,AverageChildren
1,6,25,0,4,141.67,0.83,0.33
2,6,25,0,4,215.0,1.83,0.33
3,6,25,0,4,274.67,2.5,0.67
4,6,25,0,4,364.67,3.5,0.67
5,6,25,0,4,454.67,4.5,0.67
6,7,25,0,4,452.57,4.71,0.86
7,7,25,0,4,542.57,5.71,0.86
8,7,25,0,4,632.57,6.71,0.86
9,8,25,0,4,619.75,6.75,1.0
10,8,25,0,4,709.75,7.75,1.0
11,9,25,0,4,699.78,7.78,1.11
12,10,25,0,4,700.8,7.9,1.2
13,12,25,0,4,634.0,7.42,1.33
14,11,25,0,4,782.36,9.0,1.45
15,12,25,0,4,774.67,9.17,1.5
16,15,25,0,4,651.73,8.13,1.6
17,16,25,0,4,671.5,8.44,1.75
18,17,25,0,4,682.47,8.76,1.88
19,18,25,0,4,687.11,9.0,2.11
