Day,Animals,Grasses,FreeSpaces,MostPopularGenome,AverageEnergy,AverageLifetime,AverageChildren
1,5,25,0,3,190.0,1.0,0.0
2,6,25,0,7,216.67,1.67,0.33
3,8,25,0,7,205.0,2.0,0.75
4,10,25,0,3 7,216.0,2.4,1.0
5,10,25,0,3 7,306.0,3.4,1.0
6,12,25,0,7,313.33,3.67,1.17
7,15,25,0,7,296.0,3.73,1.33
8,16,25,0,7,331.75,4.31,1.5
9,17,25,0,7,357.88,4.76,1.76
10,16,25,0,7,440.63,5.88,2.0
11,18,25,0,7,429.22,5.89,2.22
12,19,25,0,7,445.47,6.42,2.32
13,20,25,0,7,471.4,6.75,2.6
14,24,25,0,7,431.08,6.38,2.58
15,24,25,0,2 7,481.67,7.13,2.83
16,28,25,0,2,455.57,6.82,2.86
17,32,25,0,2,434.75,6.72,2.88
18,33,25,0,7,468.61,7.24,3.09
19,37,25,0,7,454.22,7.14,3.19
20,40,25,0,7,457.7,7.32,3.3
21,42,25,0,7,471.81,7.64,3.52
22,44,25,0,7,492.86,8.02,3.68
23,46,25,0,7,512.04,8.37,3.87
24,48,25,0,7,524.67,8.77,4.0
25,52,25,0,7,517.54,8.79,4.08
26,54,25,0,7,535.19,9.2,4.22
27,57,25,0,7,535.47,9.35,4.42
28,60,25,0,7,534.63,9.6,4.53
29,60,25,0,7,561.27,10.23,4.9
30,61,25,0,7,582.8,10.57,5.1
31,66,25,0,7,563.68,10.42,5.14
32,66,25,0,7,588.5,11.09,5.47
33,65,25,0,7,625.12,11.85,5.95
34,66,25,0,7,645.17,12.32,6.23
35,68,25,0,7,653.22,12.6,6.43
36,71,25,0,2 7,649.56,12.75,6.52
37,74,25,0,7,646.28,12.86,6.66
38,74,25,0,7,670.53,13.51,7.01
39,72,25,0,7,713.18,14.5,7.57
40,78,25,0,7,679.14,14.1,7.35
41,79,25,0,7,692.29,14.63,7.56
42,80,25,0,7,706.91,15.09,7.84
43,82,25,0,7,710.6,15.4,7.99
44,86,25,0,7,697.69,15.31,8.03
45,90,25,0,7,687.7,15.28,8.08
46,89,25,0,7,715.52,16.1,8.51
47,88,25,0,7,745.84,16.75,9.0
48,87,25,0,2,773.63,17.63,9.4
49,86,25,0,2,802.94,18.33,9.87
50,89,25,0,7,797.27,18.12,9.9
51,88,25,0,7,825.83,18.95,10.38
52,90,25,0,2,827.77,19.13,10.57
53,90,25,0,7,848.54,19.8,10.9
54,90,25,0,7,869.93,20.29,11.29
55,95,25,0,7,843.64,19.87,11.09
56,94,25,0,7,872.36,20.73,11.55
57,91,25,0,7,920.68,21.96,12.2
58,91,25,0,7,940.22,22.6,12.55
59,90,25,0,7,971.7,23.17,12.97
60,93,25,0,7,960.27,23.09,12.91
61,98,25,0,7,927.83,22.57,12.64
62,101,25,0,7,917.36,22.53,12.66
63,99,25,0,7,954.21,23.65,13.24
64,99,25,0,7,971.91,24.26,13.63
65,99,25,0,7,989.35,24.41,13.86
66,98,25,0,7,1016.31,25.18,14.37
67,95,25,0,7,1065.71,26.63,15.14
68,97,25,0,7,1061.65,26.73,15.2
