Day,Animals,Grasses,FreeSpaces,MostPopularGenome,AverageEnergy,AverageLifetime,AverageChildren
1,6,25,0,3 7,141.67,0.83,0.33
2,6,25,0,3 7,215.0,1.83,0.33
3,5,25,0,7,349.6,3.0,0.4
4,5,25,0,7,439.6,4.0,0.4
5,6,25,0,3,424.67,4.17,0.67
6,6,25,0,3,514.67,5.17,0.67
7,7,25,0,7,504.0,5.29,0.86
8,8,25,0,7,507.25,5.5,1.0
9,9,25,0,7,508.67,5.78,1.11
10,8,25,0,7,663.25,7.38,1.25
11,10,25,0,7,582.6,6.7,1.4
12,12,25,0,7,535.5,6.42,1.5
13,11,25,0,7,665.82,7.91,1.64
14,11,25,0,3 7,739.27,8.73,1.82
15,12,25,0,7,751.83,8.92,1.83
16,14,25,0,7,707.29,8.5,1.86
17,15,25,0,7,724.13,8.87,1.87
18,14,25,0,7,846.29,10.29,2.14
19,15,25,0,7,848.4,10.4,2.27
20,16,25,0,7,855.88,10.56,2.38
21,18,25,0,7,824.11,10.28,2.33
22,21,25,0,7,751.05,9.57,2.38
23,24,25,0,7,699.17,9.17,2.42
24,23,25,0,7,774.43,10.26,2.78
25,24,25,0,7,793.17,10.54,3.0
26,25,25,0,7,813.28,10.92,3.12
27,26,25,0,7,824.46,11.23,3.31
28,28,25,0,7,811.79,11.14,3.43
29,31,25,0,7,776.97,10.84,3.42
30,32,25,0,7,804.06,11.28,3.56
31,34,25,0,7,802.41,11.32,3.71
32,40,25,0,7,716.95,10.38,3.55
33,41,25,0,7,743.12,10.85,3.76
34,44,25,0,7,726.5,10.77,3.91
35,47,25,0,7,717.74,10.77,4.04
36,48,25,0,7,727.25,11.19,4.33
37,46,25,0,7,795.43,12.33,4.83
38,51,25,0,7,754.94,11.86,4.71
39,58,25,0,7,691.07,11.14,4.55
40,61,25,0,7,689.28,11.28,4.69
41,62,25,0,7,705.39,11.73,5.0
42,66,25,0,7,686.27,11.65,5.12
43,66,25,0,7,715.64,12.32,5.45
