Day,Animals,Grasses,FreeSpaces,MostPopularGenome,AverageEnergy,AverageLifetime,AverageChildren
1,16,28,63,0,59.69,0.94,0.13
2,17,34,57,0,49.18,1.82,0.24
3,17,37,53,0,47.24,2.82,0.24
4,17,40,50,0,44.88,3.82,0.24
5,17,42,50,0,45.65,4.53,0.35
6,16,42,47,0,53.31,5.5,0.38
7,14,45,47,0,62.29,6.57,0.43
8,14,51,38,0,56.79,7.57,0.43
9,11,52,42,6,84.91,8.45,0.55
10,11,56,36,6,86.73,9.45,0.55
11,11,60,34,6,87.0,10.45,0.55
12,11,65,27,6,84.82,11.45,0.55
13,12,67,27,0 6,83.83,11.42,0.67
14,12,70,24,0 6,86.75,12.42,0.67
15,13,75,19,6,78.77,12.38,0.77
16,14,79,15,6,73.29,12.43,0.86
17,15,81,13,0 6,71.87,12.53,0.93
18,14,83,11,0,80.79,13.21,1.0
19,15,85,9,0,78.93,13.27,1.07
20,14,84,12,6,95.21,14.21,1.14
21,14,84,9,6,102.93,15.21,1.14
22,14,83,10,6,112.64,16.21,1.14
23,14,82,11,6,122.79,17.21,1.14
24,13,82,13,6,141.77,17.77,0.92
25,13,84,9,6,146.62,18.77,0.92
26,13,85,9,6,153.54,19.77,0.92
27,13,83,9,6,166.54,20.77,0.92
28,13,82,10,6,178.23,21.77,0.92
29,14,85,10,6,167.29,21.14,1.0
30,15,88,5,6,155.6,20.67,1.07
31,17,88,6,6,141.0,19.12,1.18
32,18,85,7,6,140.17,19.0,1.22
33,19,80,12,6,141.74,18.95,1.26
34,20,80,10,6,135.25,18.95,1.3
35,20,76,10,6,141.5,19.95,1.3
36,20,72,16,6,146.95,20.95,1.3
37,20,72,16,6,147.65,21.65,1.4
38,21,71,14,6,141.05,21.57,1.43
39,23,72,15,6,125.83,20.61,1.48
40,25,73,14,6,111.96,19.88,1.52
41,27,71,17,6 7,102.85,19.33,1.56
42,25,68,18,6,111.72,19.88,1.56
43,25,61,21,6,116.84,20.88,1.56
44,26,60,25,6,110.77,20.85,1.65
45,27,62,20,6,101.48,20.89,1.74
46,26,60,22,6,104.12,21.62,1.77
47,25,60,26,6,106.72,22.92,1.88
48,25,59,23,6,105.08,23.92,1.88
49,24,60,31,6,107.17,23.46,1.92
50,23,58,32,6,114.96,22.87,1.78
51,23,59,26,6,111.87,23.87,1.78
52,23,60,28,6,111.3,23.39,1.91
53,25,58,29,6,104.08,22.44,1.92
54,26,56,29,6,100.62,22.54,1.92
55,26,55,27,6,100.12,23.31,2.0
56,27,52,29,6,96.85,23.41,2.0
57,26,54,30,6,95.73,22.69,1.88
58,26,56,31,6,90.5,23.5,1.96
59,25,54,33,6,94.96,23.84,1.92
60,25,55,33,6,91.88,24.04,1.88
61,23,54,31,6,99.43,25.04,1.78
62,22,53,32,6,104.36,27.0,1.86
63,21,53,34,6,109.48,27.62,1.95
64,20,53,34,6,115.15,29.85,2.05
65,21,55,33,6,106.67,29.38,2.05
66,20,53,38,6,117.9,28.05,1.8
67,19,55,33,6,123.42,30.37,1.89
68,19,60,29,6,117.32,31.37,1.89
69,19,57,31,6,123.42,32.37,1.89
70,19,57,32,6,126.16,29.68,1.74
71,18,58,30,6,133.94,30.33,1.67
72,18,57,33,6,139.44,30.94,1.78
73,19,58,32,6,133.42,30.26,1.79
74,19,59,32,6,135.42,30.11,1.89
75,19,58,30,6,139.0,31.11,1.89
76,19,57,34,6,143.16,30.05,2.0
77,19,59,29,6,141.32,31.05,2.0
78,21,61,29,6,127.0,27.67,2.1
79,23,59,29,6,118.22,26.17,2.09
80,23,61,27,6,114.61,27.17,2.09
81,24,58,29,6,113.83,26.54,2.13
82,26,57,28,6,105.35,25.42,2.12
83,28,55,33,6,97.43,24.54,2.11
84,27,54,30,6,99.33,26.3,2.19
85,29,56,28,6,87.38,25.41,2.17
86,28,55,30,6,89.68,25.0,2.14
87,26,57,28,6,94.0,25.88,2.31
88,24,56,32,6,104.17,25.13,2.25
89,23,55,34,6,110.13,26.78,2.35
90,22,54,33,6,117.86,28.14,2.5
91,23,51,35,6,116.74,27.87,2.48
92,24,51,37,6,111.21,27.67,2.46
93,23,50,36,6,117.22,28.96,2.61
94,24,48,37,6,113.92,28.71,2.58
95,25,50,34,6,105.44,28.52,2.56
96,26,47,37,6,103.0,28.38,2.54
97,24,47,38,6,110.46,30.25,2.75
98,24,49,36,6,106.58,30.42,2.79
99,23,52,37,6,109.09,29.83,2.7
100,23,48,40,6,114.43,30.61,2.78
101,23,52,32,6,108.83,31.61,2.78
102,21,56,33,6 7,115.0,33.67,3.0
103,19,58,34,6,127.11,37.32,3.32
104,19,60,30,6,127.11,37.42,3.32
